Hallo.	Hello.	[sound:Firetongues-DE-EN-0001.mp3]	
Ich bin Max, und du?	I am Max, and you are?	[sound:Firetongues-DE-EN-0002.mp3]	
Ich heiße Anna.	My name is Anna. / I am called Anna.	[sound:Firetongues-DE-EN-0003.mp3]	
Es freut mich dich kennenzulernen.	Nice to meet you.	[sound:Firetongues-DE-EN-0004.mp3]	
Freut mich.	Nice to meet you. (short form)	[sound:Firetongues-DE-EN-0005.mp3]	
Du bist Lena, richtig?	You are Lena, right?	[sound:Firetongues-DE-EN-0006.mp3]	
Nein.	No.	[sound:Firetongues-DE-EN-0007.mp3]	
Entschuldigung.	Excuse me.	[sound:Firetongues-DE-EN-0008.mp3]	
Wie geht es dir?	How are you?	[sound:Firetongues-DE-EN-0009.mp3]	
Mir geht es gut, und dir?	I am fine. And you?	[sound:Firetongues-DE-EN-0010.mp3]	
Auch gut, danke.	I'm fine too, thanks.	[sound:Firetongues-DE-EN-0011.mp3]	
Studierst du auch Biologie?	Do you also study biology?	[sound:Firetongues-DE-EN-0012.mp3]	
Ja, genau.	Yes exactly.	[sound:Firetongues-DE-EN-0013.mp3]	
Ich bin im ersten Semester.	I am in the first semester.	[sound:Firetongues-DE-EN-0014.mp3]	
Ich auch.	Me too.	[sound:Firetongues-DE-EN-0015.mp3]	
Bist du neu in München?	Are you new to Munich?	[sound:Firetongues-DE-EN-0016.mp3]	
Ich komme aus Berlin.	I come from Berlin.	[sound:Firetongues-DE-EN-0017.mp3]	
Das ist weit weg.	That's far away.	[sound:Firetongues-DE-EN-0018.mp3]	
Warum studierst du nicht in Berlin?	Why don't you study in Berlin?	[sound:Firetongues-DE-EN-0019.mp3]	
Stadt	city	[sound:Firetongues-DE-EN-0020.mp3]	
Die Uni in München ist gut.	The University of Munich is good.	[sound:Firetongues-DE-EN-0021.mp3]	
Ja, stimmt.	Yes, that's right.	[sound:Firetongues-DE-EN-0022.mp3]	
Ich muss los. Tschüs!	I have to go. Bye!	[sound:Firetongues-DE-EN-0023.mp3]	
Woher kommst du?	Where are you from?	[sound:Firetongues-DE-EN-0024.mp3]	
Ich komme aus England.	I'm from England.	[sound:Firetongues-DE-EN-0025.mp3]	
Du kommst aus England?	You're from England?	[sound:Firetongues-DE-EN-0026.mp3]	
Woher genau?	Where (are you) from exactly?	[sound:Firetongues-DE-EN-0027.mp3]	
in der Nähe von London	near London	[sound:Firetongues-DE-EN-0028.mp3]	
Was machst du in Deutschland?	What are you doing in Germany?	[sound:Firetongues-DE-EN-0029.mp3]	
Ich lerne hier Deutsch.	I'm learning German here.	[sound:Firetongues-DE-EN-0030.mp3]	
Toll!	Great!	[sound:Firetongues-DE-EN-0031.mp3]	
Warum lernst du Deutsch?	Why are you learning German?	[sound:Firetongues-DE-EN-0032.mp3]	
Ich möchte in Deutschland studieren.	I want to study in Germany.	[sound:Firetongues-DE-EN-0033.mp3]	
Viel Erfolg!	I wish you success!	[sound:Firetongues-DE-EN-0034.mp3]	
Vielen Dank!	Thank you so much!	[sound:Firetongues-DE-EN-0035.mp3]	
Wie heißt du?	What's your name? / What are you called?	[sound:Firetongues-DE-EN-0036.mp3]	
Ich komme aus Spanien.	I'm from Spain.	[sound:Firetongues-DE-EN-0037.mp3]	
Sprichst du Spanisch?	Do you speak Spanish?	[sound:Firetongues-DE-EN-0038.mp3]	
Ich spreche ein bisschen Spanisch.	I speak a little Spanish.	[sound:Firetongues-DE-EN-0039.mp3]	
Du sprichst sehr gut Deutsch!	You speak German very well!	[sound:Firetongues-DE-EN-0040.mp3]	
Danke.	Thanks.	[sound:Firetongues-DE-EN-0041.mp3]	
Ich möchte in Deutschland arbeiten.	I want to work in Germany.	[sound:Firetongues-DE-EN-0042.mp3]	
Bist du Studentin?	Are you a student (female)?	[sound:Firetongues-DE-EN-0043.mp3]	
Bist du Student?	Are you student (male)?	[sound:Firetongues-DE-EN-0044.mp3]	
Ich studiere Biologie.	I study biology.	[sound:Firetongues-DE-EN-0045.mp3]	
Was machst du von Beruf?	What do you do for a living?	[sound:Firetongues-DE-EN-0046.mp3]	
Ich bin Programmierer.	I am a programmer.	[sound:Firetongues-DE-EN-0047.mp3]	
Schön dich kennenzulernen.	Pleasure to meet you.	[sound:Firetongues-DE-EN-0048.mp3]	
Bis zum nächsten Mal!	See you next time!	[sound:Firetongues-DE-EN-0049.mp3]	
Ich verstehe nicht.	I don't understand.	[sound:Firetongues-DE-EN-0050.mp3]	
Ich spreche kein Deutsch.	I don't speak German.	[sound:Firetongues-DE-EN-0051.mp3]	
Sprechen Sie Englisch?	Do you speak English? (fr.)	[sound:Firetongues-DE-EN-0052.mp3]	
Kannst du das nochmal sagen?	Can you say that again?	[sound:Firetongues-DE-EN-0053.mp3]	
Sprich bitte langsam.	Please talk slowly.	[sound:Firetongues-DE-EN-0054.mp3]	
Was heißt … auf Deutsch?	How do you say... in German?/<div>What is... called in German?</div>	[sound:Firetongues-DE-EN-0055.mp3]	
jetzt	now	[sound:Firetongues-DE-EN-0056.mp3]	
Gratulation.	Congratulations.	[sound:Firetongues-DE-EN-0057.mp3]	
Wie geht's?	How are you? (short form)	[sound:Firetongues-DE-EN-0058.mp3]	
Mir geht's gut, danke.	I'm fine, thanks.	[sound:Firetongues-DE-EN-0059.mp3]	
Wie gefällt dir München?	How do you like Munich?	[sound:Firetongues-DE-EN-0060.mp3]	
