Krig er fred.	War is peace.
Frihet er slaveri.	Freedom is slavery.
Stykke for stykke.	Piece by piece.
Hvor mange epler spiser hestene i gjennomsnitt?	How many apples do the horses eat on average?
Middag er vanligvis dagens tredje måltid.	Dinner is usually the day's third meal.
Det virket mulig.	It seemed possible.
Jeg ba ham om å gjøre det i går.	I asked him to do it yesterday.
Når begynte det?	When did it start?
Jeg antatt det.	I assumed so.
Navnet ditt står ikke på listen.	Your name is not on the list.
Jeg var sikker på det.	I was sure of it.
Det er umulig å gjøre det på den måten.	It is impossible to do it that way.
Temaene er de samme som før.	The topics are the same as before.
Han smilte under samtalen.	He smiled during the conversation.
Jeg hadde ikke noe valg.	I had no choice.
Flasken inneholder all drømmere mine.	The bottle contains all of my dreams.
Tidligere denne uken...	Earlier this week...
Vi har nye opplysninger.	We have new information.
Hvem har vunnet?	Who has won?
Språket endrer ikke virkeligheten.	Language does not change reality.
Vi snakker om forskjellige virkeligheter.	We are talking about different realities.
Hvem er ansvarlig?	Who is responsible?
Har du smakt på fisken?	Have you tasted the fish?
Vi kan ikke tillate deg å gjøre det.	We cannot allow you to do that.
Jeg ser en klor himmel med millioner av stjerner.	I see a clear sky with millions of stars.
Det finnes evige sannheter.	There exist eternal truths.
Han finnes ikke	He does not exist
Mars har mindre tyngdekraft enn jorda.	Mars has less gravity than Earth.
Moren min er astronom.	My mother is an astronomer.
Er det virkelig et tilfeldig valg?	Is it really a random choice?
Vi må avslutte denne samtalen på et annet sted.	We have to finish this conversation at another place.
Vennskap ender ofte i kjærlighet, men kjærlighet ender aldri i vennskap.	Friendship often ends in love, but love never ends in friendship.
Uværet ødela tre bruer.	The storm destroyed three bridges.
Kan du snakke sakte?	Can you speak slowly?
Vi kommer til dere i november.	We are coming to you in November.
Ikke bekymre deg.	Don't worry.
Arbeidet er tungt.	The work is hard.
Jeg forstår ikke.	I don't understand.
Hva slags jobb vil du helst ha?	What kind of job would you prefereably have?
Det virker spennende.	It seems exciting.
Vinden kom farende oven engen og lekte litt med håret hennes før den dro videre inn i skogen.	The wind came rushing oven the meadow and played a little with her hair before it went further into the forest.
Det var en ubegripelig dum ting å gjøre.	It was an incomprehensbily dumb thing to do.
Han måtte ha vært ti-elleve år gammel da moren forsvant.	He must have been ten-eleven years old when his mother disappeared.
Han tenkte at det måtte ha vært en gang på sekstitallet, men det var umulig å si sikkert.	He thought that there must have been a time in the sixties, but it was impossible to say for sure.
I dag, når jeg tenker tilbake, er det likevel bildene av engen jeg husker først.	Today, when I think back, it is still the pictures of the meadow I remember first.
Så livaktig er det at jeg nesten begynner å tro at om jeg bare strakte ut hånden, ville jeg kunne berøre det hele.	So lifelike it is that I almost begin to think that if I just stretched out my hand, I could touch it all.
Man husket store begivenheter som høyst sannsynlig ikke hadde skjedd.	One remembered major events that very likely had not happened.
Får jeg litt tid på meg, kan jeg naturligvis gjenkalle ansiktet hennes.	If I get some time, I can naturally recall her face.
det vakre, glatte håret som var bløtt som silke	the beautiful, smooth hair that was soft as silk
føflekken hun hadde på halsen rett under den myke, runde øreflippen	the birthmark she had on her neck right under the soft, round earlobe
måten hun så meg rett inn i øynene på når hun spurte om noe	the way she looked me right in the eyes when she asked about something
som om hun sto og ropte gjennom vinden	as if she stood crying through the wind
ett for ett kan jeg samle sammen slike enkeltbilder til ansiktet hennes til slutt står helt klart for meg	one by one I can gather such individual pictures until her face finally stands completely clear to me
Jeg klarte aldri å få en eneste setning ned på papiret.	I never managed to get a single sentence down on the paper.
Naoko visste det selvsagt hele tiden.	Naoko of course knew it the whole time.
Hun elsket meg ikke engang.	She did not even love me.
Det første merkelappen vi kan sette på det er at det er jo veldig lite puristisker.	The first label we can put on it is that there are very few purists.	
Og purisme er jo som språk ideologi som går på at en skal holde språket rent eller purt - purisme.	And purism is a language ideology that says (?) that one should hold the langauge clean or pure - purism.	
Og det mest overvelende er jo selfølgelig alle er engleske orda.	And the most overwhelming are of course all are English words.	
Og Norge er jo et lite land. Vi har norsk - et lite språk. Det er ganske sårbart.	And Norway is a little country. We have Norwegian - a small language. It's quite vulnerable.	
Vi skal til frodige Sør-Amerika, som er fullt av overraskelser.	We're going to lush South America, which is full of surprises.
Vi reiser fra de afrikanske slettene - til den enorme ødemarka i Nord-Amerika.	We travel from the African plains - to the vast wilderness of North America.
Vi skal utforske avsidesliggende fjell i Asia.	We will explore remote mountains in Asia.
Det er viktigere enn noensinne å ta vare på det dyrebare artsmangfoldet på våre sju kontinenter.	It is more important than ever to take care of the precious species diversity on our seven continents.
Dette er det mest ugjestmilde av alle kontinentene.	This is the most inhospitable of all the continents.
Fastlands-Antarktis er 50 ganger så stort som Norge.	Mainland Antarctica is 50 times as big as Norway.
Så det som finnes av liv, er helt avhengig av havet som omgir Antarktis.	So what exists of life is completely dependent on the ocean that surrounds Antarctica.
Men også havet fryser til.	But the sea is also freezing.
Et pattedyr som lever her, er weddelselen.	One mammal that lives here is the Weddell seal.
De ti første dagene er ungen ute av stand til å svømme.	(For) the first ten days, the young (sg) is unable to swim.
Den er fanget her ute på isen.	It's trapped here out on the ice.
Moren skjermer ungen sin mot den bitende vinden.	The mother shields her young (sg) from the biting wind.
Og snøstormer kan herje i dagevis.	And blizzards can rage for days.
Tre dager senere, og fortsatt raser uværet.	Three days later, and the storm is still raging.
Eller skal hun søke ly ute i vannet.	Or should she seek shelter out in the water.
Noen unger måtte gi tapt.	Some young had to give up.
Det er bare noen få, hardføre dyr som kan leve så langt sør året rundt.	There are only a few hardy animals that can live so far south all year round.
Men her er det andre utfordringer.	But here are other challenges.
Men noen av ungene er litt mer rastløse enn andre.	But some of the young are a little more restless than others.
Det er mye som må undersøkes.	There is a lot that needs to be investigated.
Merkelige greier.	Strange things.
Det de kan kjenne hverandre igjen på, er kalleropene.	What they can recognize each other by are the calls.
Å holde på et territorium her er en evig kamp.	Holding on to a territory here is an eternal struggle.
Det tærer på kreftene, og han går ned ti kilo om dagen.	It consumes his energy, and he loses ten kilos a day.
Rett i nærheten ligger det flere andre hanner og venter på en mulighet til å overta haremet hans.	Right nearby are several other males waiting for an opportunity to take over his harem.
Et 15 centimeter tykt spekklag beskytter mot kulda.	A 15 centimeter thick layer of fat protects against the cold.
Men ikke mot slagene fra en motstander på fire tonn.	But not against the blows from an opponent of four tons.
Han beholder makten og tvinger inntrengeren ut i sjøen igjen.	He retains power and forces the intruder out into the sea again.
Men skapningene som lever her, har rik tilgang på mat. Sørishavet yrer av liv.	But the creatures that live here have rich access to food. The Southern Ocean is teeming with life.
Disse er nå de kraftigste av alle verdens havstrømmer.	These are now the most powerful of all the world's ocean currents.
De virvler opp næringsstoffer fra dypet, og sørger for at havet her er rikere på mat enn noe annet havområde i verden.	They whirl up nutrients from the depths, and ensure that the sea here is richer in food than any other sea area in the world.
Og noen av skapningene som kommer hit for å fråtse, bruker svært så avanserte metoder.	And some of the creatures that come here to feast use very advanced methods.
I det kalde vannet er det enorme stimer med krill.	In the cold water there are huge shoals of krill.
Beregninger viser at det finnes 400.000 milliarder krill i havet.	Estimates show that there are 400,000 billion krill in the sea.
For å kunne sluke store menger krill lager knølhvalene en vegg av luftbobler som krillen ikke våger seg gjennom.	In order to be able to swallow large amounts of krill, the humpback whales make a wall of air bubbles that the krill do not venture through.
Så stiger hvalene loddrettopp fra dypet, åpner gapet og sluker store mengder krill.	Then the whales rise vertically from the depths, opens its gaping mouth and swallows large amounts of krill.
