你好！	Nǐ hǎo!	Hello!	[sound:tmp1cctcn.mp3]
你说什么？	Nǐ shuō shénme?	What are you saying?	[sound:tmp4tzxbu.mp3]
你做了什么？	nǐ zuò le shénme ?	What did you do?	[sound:333012.mp3]
我会做。	Wǒ huì zuò.	I know how to do it.	[sound:G009-03.mp3]
你想我了？	nǐ xiǎng wǒ le ?	Did you miss me?	[sound:334429.mp3]
他们会做。	Tāmen huì zuò.	They know how to do it.	[sound:G009-05.mp3]
他们在说什么？	Tāmen zài shuō shénme?	What are they talking about?	[sound:tmpxth4o3.mp3]
你会做吗？	Nǐ huì zuò ma?	Do you know how to do it?	[sound:R009-07.mp3]
你做什么工作？	Nǐ zuò shénme gōngzuò?	What do you do for work?	[sound:R020-01.mp3]
她做什么工作？	Tā zuò shénme gōngzuò?	What does she do for work?	[sound:R020-02.mp3]
怎么了？	zěnme le?	What's the matter?	[sound:334413.mp3]
你在听我说吗？	nǐ zài tīng wǒ shuō ma ?	Are you listening to me at all?	[sound:332820.mp3]
听他说。	Tīng tā shuō.	Listen to him.	[sound:R038-06.mp3]
他不会做。	Tā bù huì zuò.	He can't do it.	[sound:G009-04.mp3]
你在哪里工作？	Nǐ zài nǎli gōngzuò?	Where do you work?	[sound:R020-06.mp3]
你去哪里？	Nǐ qù nǎli?	Where are you going?	[sound:G006-01.mp3]
你想去哪里？	Nǐ xiǎng qù nǎli?	Where would you like to go?	[sound:R015-01.mp3]
你是哪里人？	Nǐ shì nǎli rén?	Where are you from?	[sound:G006-02.mp3]
她是哪里的人？	Tā shì nǎli de rén?	Where is she from?	[sound:R006-04.mp3]
你想去哪里吃？	Nǐ xiǎng qù nǎli chī?	Where would you like to go to eat?	[sound:R015-06.mp3]
你想要什么？	nǐ xiǎng yào shénme ?	What do you want?	[sound:333098.mp3]
我想看看。	wǒ xiǎng kànkan.	I want to take a look.	[sound:332819.mp3]
你做对了。	Nǐ zuòduì le.	You've done the right thing.	[sound:tmp2spnti.mp3]
给我看。	Gěi wǒ kàn.	Give me a look.	[sound:G027-02.mp3]
我爱你。	Wǒ ài nǐ.	I love you.	[sound:tmptnzyb7.mp3]
你喜欢你的工作吗？	Nǐ xǐhuan nǐde gōngzuò ma?	Do you like your work?	[sound:G020-03.mp3]
他不喜欢他的工作。	Tā bù xǐhuan tā de gōngzuò.	He does not like his work.	[sound:R020-04.mp3]
学生不听我说。	Xuésheng bù tīng wǒ shuō.	The students don't listen to me.	[sound:G038-03.mp3]
我喜欢中国。	Wǒ xǐhuan Zhōngguó.	I like China.	[sound:R002-01.mp3]
中国大吗？	Zhōngguó dà ma?	Is China big?	[sound:R007-01.mp3]
中国很大。	Zhōngguó hěn dà.	China is very big.	[sound:R007-03.mp3]
他是谁？	Tā shì shéi?	Who is he?	[sound:R034-01.mp3]
谁是你的学生？	Shéi shì nǐ de xuésheng?	Who is your student?	[sound:G034-01.mp3]
我怎么去北京？	Wǒ zěnme qù Běijīng?	How do I get to Beijing?	[sound:tmpcthldk.mp3]
她要去北京。	Tā yào qù Běijīng.	She will to go to Beijing.	[sound:R017-01.mp3]
你想去北京吗？	Nǐ xiǎng qù Běijīng ma?	Would you like to go to Beijing?	[sound:G015-05.mp3]
我要去北京。	Wǒ yào qù Běijīng.	I'm going to Beijing.	[sound:R004-01.mp3]
她想来中国。	Tā xiǎng lái Zhōngguó.	She would like to come to China.	[sound:G030-05.mp3]
她想来北京。	Tā xiǎng lái Běijīng.	She would like to come to Beijing.	[sound:G030-06.mp3]
你今天想做什么？	Nǐ jīntiān xiǎng zuò shénme?	What do you want to do today?	[sound:R022-01.mp3]
他今天想做什么？	Tā jīntiān xiǎng zuò shénme?	What would he like to do today?	[sound:G022-01.mp3]
我在想你今天会不会来。	wǒ zài xiǎng nǐ jīntiān huì bu huì lái.	I am wondering if you will come today.	[sound:334925.mp3]
你什么时候来中国？	Nǐ shénme shíhòu lái Zhōngguó?	When will you come to China?	[sound:R031-01.mp3]
学生没来。	Xuésheng méi lái.	The student did not come.	[sound:G030-03.mp3]
我想知道谁来了。	wǒ xiǎng zhīdào shéi lái le .	I wonder who has come.	[sound:334195.mp3]
你从哪里来？	Nǐ cóng nǎli lái?	Where are you from?	[sound:R030-01.mp3]
他从哪里来？	Tā cóng nǎli lái?	Where is he from?	[sound:R030-02.mp3]
什么时候开始？	shénme shíhou kāishǐ ?	What time does it start?	[sound:332585.mp3]
他开始找工作了。	tā kāishǐ zhǎo gōngzuò le .	He began to look for a job.	[sound:334042.mp3]
他是我的朋友。	Tā shì wǒde péngyou.	He is my friend.	[sound:tmpylizw1.mp3]
我很喜欢你的朋友。	Wǒ hěn xǐhuan nǐ de péngyou.	I like your friend very much.	[sound:R002-06.mp3]
你喜欢我朋友吗？	Nǐ xǐhuan wǒ péngyou ma?	Do you like my friend?	[sound:G002-05.mp3]
我的朋友没来。	Wǒde péngyou méi lái.	My friend did not come.	[sound:R030-05.mp3]
