Kate, 坐吧。	Kate, zuò ba.	Sit down, Kate.	[sound:332793.mp3]
Steve看上去很高兴。	Steve kànshangqu hěn gāoxing.	Steve looks quite happy.	[sound:333003.mp3]
“是谁？”“是你妈妈。”	"Shì shéi? ""Shì nǐ māma."""	"Who is it? ""It's your mother."""	[sound:334489.mp3]
Ken的狗很大。	Ken de goǔ hěn dà.	Ken's dog is very big.	[sound:334687.mp3]
“你太好了。”Willie回答道。	Nǐ tài hǎo le. Willie huídá dào.	That's very nice of you, Willie answered.	[sound:334473.mp3]
Sam比Tom小两岁。	Sam bǐ Tom xiǎo liang suì.	Sam is two years younger than Tom.	[sound:333708.mp3]
Ken昨天在家吗？	Ken zuótiān zài jiā ma?	Was Ken at home yesterday?	[sound:333940.mp3]
荷兰是个小国。	Hélán shì ge xiǎo guó.	The Netherlands is a small country.	[sound:335001.mp3]
Davis先生看上去很累。	Davis xiānsheng kànshangqu hěn lèi.	Mr Davis looks very tired.	[sound:333308.mp3]
“这看上去很有意思。”Hiroshi说道。	Zhè kànshangqu hěn yoǔ yìsi. Hiroshi shuōdào.	This looks pretty interesting, Hiroshi says.	[sound:334476.mp3]
“这些车是你的吗？”“是的，是我的。”	"Zhèxiē chē shì nǐ de ma? ""Shìde, shì wǒ de."""	"Are these your cars? ""Yes, they are."""	[sound:332487.mp3]
Bill跑得比Bob快。	Bill pǎo de bǐ Bob kuài.	Bill runs faster than Bob.	[sound:333650.mp3]
Maria花很多钱买衣服。	Maria huā hěn duō qián mǎi yīfu.	Maria spends a lot of money on clothes.	[sound:333648.mp3]
昨天是我17岁生日。	Zuótiān shì wǒ shí qī suì shengrì.	Yesterday was my seventeenth birthday.	[sound:333242.mp3]
“你什么时候回来？”“这都要看天气。”	"Nǐ shénme shíhou huílai?""Zhè doū yào kàn tiānqì."	"When will you be back? ""It all depends on the weather."""	[sound:334488.mp3]
没关系。	Méiguānxi.	It doesn't matter.	[sound:333730.mp3]
她来了！	Tā lái le!	She's coming!	[sound:333982.mp3]
怎么了？	Zěnme le?	What's happened?	[sound:334413.mp3]
天很冷。	Tiān hěn leng.	It's cold.	[sound:334647.mp3]
昨天是Alice去了演唱会。	Zuótiān shì Alice qù le yǎnchanghuì.	It was Alice who went to the concert yesterday.	[sound:332687.mp3]
“你去哪儿了？”“我去了火车站送我的一个朋友。”	"Nǐ qù nǎr le? ""Wǒ qù le huǒchēzhàn song wǒ de yī gè pengyou."""	"Where have you been? ""I have been to the station to see a friend off."""	[sound:333716.mp3]
我想看看。	Wǒ xiang kànkan.	I want to have a little look.	[sound:332819.mp3]
Jane正要离开家。	Jane zheng yào líkāi jiā.	Jane was about to leave the house.	[sound:333100.mp3]
你想我了？	Nǐ xiang wǒ le?	Did you miss me?	[sound:334429.mp3]
Allen是个诗人。	Allen shì ge shīrén.	Allen is a poet.	[sound:334457.mp3]
她是医生。	Tā shì yīsheng.	She is a doctor.	[sound:334971.mp3]
Jack买不起新自行车。	Jack mǎibuqǐ xīn zìxingchē.	Jack can't afford to buy a new bicycle.	[sound:332509.mp3]
你做了什么？	Nǐ zuò le shénme?	What did you make?	[sound:333012.mp3]
上个月，我们20岁的女儿生了个女孩。	Shang gè yuè, wǒmen èr shí suì de nv'ér sheng le ge nvhái.	Last month our twenty-year-old daughter gave birth to a baby girl.	[sound:333036.mp3]
这家店从9点开到18点。	Zhè jiā diàn cong jiǔ diǎn kāi dào shí bā diǎn.	This shop is open from 9am to 6pm.	[sound:333088.mp3]
我们是同学。	Wǒmen shì tongxué.	We're classmates.	[sound:333784.mp3]
你爸爸很高。	Nǐ bàba hěn gāo.	Your father is tall.	[sound:334118.mp3]
这是我的书。	Zhè shì wǒ de shū.	This is my book.	[sound:334383.mp3]
我在吃米饭。	Wǒ zài chī mǐfàn.	I'm eating rice.	[sound:334506.mp3]
他和我同岁。	Tā hé wǒ tong suì.	We're the same age.	[sound:335118.mp3]
我妹妹21岁，是个大学生。	Wǒ mèimei èr shí yī suì, shì ge dàxuésheng.	My sister is twenty-one years old and a college student.	[sound:332794.mp3]
“等他回来，我要让他给你打电话吗？”“是的，谢谢。”	"Deng tā huílai, wǒ yào rang tā gěi nǐ dǎ diànhuà ma? ""Shì de, xièxie."""	"Shall I have him call you when he gets back? ""Yes, please."""	[sound:333207.mp3]
Ogai是他最喜欢的作者。	Ogai shì tā zuì xǐhuan de zuòzhě.	Ogai is his favorite author.	[sound:333976.mp3]
今天天气很好，和明天一样。	Jīntiān tiānqì hěn hǎo, hé mingtiān yīyang.	The weather today is great, as it will be tomorrow.	[sound:334187.mp3]
“电话响了。”“我去接。”	"Diànhuà xiang le. ""Wǒ qù jiē."""	"The phone is ringing. ""I'll get it."""	[sound:334474.mp3]
我有好几打呢。	Wǒ yoǔ hǎo jǐ dá ne.	I have several dozens of them.	[sound:332480.mp3]
你在听我说吗？	Nǐ zài ting wǒ shuō ma?	Do you hear what I'm saying?	[sound:332820.mp3]
老人坐了下来。	Lǎorén zuò le xiàlai.	The old man sat down.	[sound:332886.mp3]
今天天气很好。	Jīntiān tiānqì hěn hǎo.	It's fine today.	[sound:333127.mp3]
他明天会在家。	Tā mingtiān huì zài jiā.	He will be at home tomorrow.	[sound:333678.mp3]
他和我一样高。	Tā hé wǒ yīyang gāo.	He is as tall as I.	[sound:333772.mp3]
明天会下雨吗？	Mingtiān huì xiàyǔ ma?	Will it rain tomorrow?	[sound:333928.mp3]
我买不起那个。	Wǒ mǎibuqǐ nèige.	I can't afford to buy that.	[sound:334044.mp3]
你的在那儿呢。	Nǐ de zài nàr ne.	Yours is over there.	[sound:334276.mp3]
“她喜欢音乐。”“我也是。”	"Tā xǐhuan yīnyuè. ""Wǒ yě shì."""	"She likes music. ""So do I."""	[sound:334470.mp3]
他明天能来吗？	Tā mingtiān neng lái ma?	Will he be able to come tomorrow?	[sound:334610.mp3]
哪本是你的书？	Nǎ běn shì nǐ de shū?	Which is your book?	[sound:334623.mp3]
桌上有个苹果。	Zhuō shang yoǔ ge pingguǒ.	There is one apple on the desk.	[sound:334725.mp3]
他现在出去了。	Tā xiànzài chūqù le.	He is out now.	[sound:335030.mp3]
