c_id	text_x	transcript	text_y
61	不要再把我当成“正常” 人!	"Bu4 yao4 zai4 ba3 wo3 dang4cheng2 ""zheng4chang2 ""  ren2!"	"Stop seeing me as a ""normal"" person!"
68	世界就是一个疯子的囚笼。	Shi4jie4 jiu4shi4 yi1 ge4 feng1zi5 de5 qiu2 long2.	The world is a den of crazies.
332420	我收到了一张请帖。	Wo3 shou1dao4 le5 yi1 zhang1 qing3tie3.	I received an invitation.
332421	她半年后就要出国了。	Ta1 ban4 nian2 hou4 jiu4 yao4 chu1guo2 le5.	She's leaving the country in six months.
332422	很少人这么认为。	Hen3 shao3 ren2 zhe4me5 ren4wei2.	Few people think so.
332423	这周我一直在工作。	Zhe4 zhou1 wo3 yi1zhi2 zai4 gong1zuo4.	I worked all this week.
332425	明天下午之前我会把它完成。	Ming2tian1 xia4wu3 zhi1qian2 wo3 hui4 ba3 ta1 wan2cheng2.	I will finish it by tomorrow afternoon.
332427	那个发现纯属偶然。	Nei4ge5 fa1xian4 chun2shu3 ou3ran2.	That discovery was quite accidental.
332428	在英国的时候，我经常看参考书。	Zai4 Ying1guo2 de5 shi2hou5, wo3 jing1chang2 kan4 can1kao3shu1.	While in England I often consulted the guidebook.
332429	我弟弟会经常彻夜不睡。	Wo3 di4di5 hui4 jing1chang2 che4ye4 bu4 shui4.	My brother will often sit up all night.
332430	你不得不制造一些借口。	Ni3 bu4de2bu4 zhi4zao4 yi1xie1 jie4kou3.	You'll have to manufacture some kind of excuse.
332431	她可能出什么事了。	Ta1 ke3neng2 chu1 shen2me5 shi4 le5.	Something might have happened to her.
332432	你参加社团活动吗？	Ni3 can1jia1 she4tuan2 huo2dong4 ma5?	Do you take part in any community activities?
332433	我找到那把我一直在找的钥匙了。	Wo3 zhao3dao4 nei4 ba3 wo3 yi1zhi2 zai4 zhao3 de5 yao4shi5 le5.	I found the key for which I had been looking.
332434	我丢了我的伞。	Wo3 diu1 le5 wo3 de5 san3.	I have lost my umbrella.
332435	她是他的一切。	Ta1 shi4 ta1 de5 yi1qie4.	She is everything to him.
332436	接电话。	Jie1 dian4hua4.	Answer the phone.
332437	我在报纸上看到了它。	Wo3 zai4 bao4zhi3 shang4 kan4 dao4 le5 ta1.	I saw it in the newspaper.
332439	雨不停，我们不会出去。	Yu3 bu4 ting2, wo3men5 bu4 hui4 chu1qu4.	We won't go out if it doesn't stop raining.
332441	他们是热爱和平的人。	Ta1men5 shi4 re4'ai4 he2ping2 de5 ren2.	They are peace-loving people.
332442	我觉得你说的是真的。	Wo3 jue2de5 ni3 shuo1 de5 shi4 zhen1de5.	I think what you say is true.
332443	可以原谅我吗？	Ke3yi3 yuan2liang4 wo3 ma5?	Can you forgive me?
332444	我们没机会赢那些一流选手。	Wo3men5 mei2 ji1hui4 ying2 nei4xie1 yi1liu2 xuan3shou3.	We have no chance against those top players.
332445	他发誓要戒烟。	Ta1 fa1shi4 yao4 jie4yan1.	He vowed to give up smoking.
332447	在明天前完成报告几乎是不可能的。	Zai4 ming2tian1 qian2 wan2cheng2 bao4gao4 ji1hu1 shi4 bu4 ke3neng2 de5.	Finishing the report by tomorrow is next to impossible.
332448	他昨天看了一部最有趣的小说。	Ta1 zuo2tian1 kan4 le5 yi1 bu4 zui4 you3qu4 de5 xiao3shuo1.	He read a most interesting novel yesterday.
332449	如果可能的话，我想环游世界。	Ru2guo3 ke3neng2 de5hua4, wo3 xiang3 huan2you2 shi4jie4.	If possible, I'd like to travel around the world.
332450	我是网球俱乐部的会员。	Wo3 shi4 wang3qiu2 ju4le4bu4 de5 hui4yuan2.	I'm a member of the tennis club.
332451	医生，请给这孩子急救。	Yi1sheng1, qing3 gei3 zhe4 hai2zi5 ji2jiu4.	Doctor, please give this child first aid.
332452	据说山上的天气变化很快。	Ju4shuo1 shan1 shang4 de5 tian1qi4 bian4hua4 hen3 kuai4.	It is said that the weather on the mountain changes easily.
332453	他后悔在校时没用功读书。	Ta1 hou4hui3 zai4xiao4 shi2 mei2 yong4gong1 du2shu1.	He regrets not having worked harder at school.
332454	我可以用支票付吗？	Wo3 ke3yi3 yong4 zhi1piao4 fu4 ma5?	May I pay by check?
332456	如果他年轻一点，他将很适合这个职位。	Ru2guo3 ta1 nian2qing1 yi1dian3, ta1 jiang1 hen3 shi4he2 zhe4ge5 zhi2wei4.	If he were a little younger, he would be eligible for the post.
332459	他给我的工作作出了明确指示。	Ta1 gei3 wo3 de5 gong1zuo4 zuo4chu1 le5 ming2que4 zhi3shi4.	He gave me precise instructions to do the job.
332460	他向权力屈服。	Ta1 xiang4 quan2li4 qu1fu2.	He succumbed to authority.
